Order_ID,Order_Date,Customer,Product,Category,Region,Salesperson,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Month
ORD04826,2025-01-01,Customer_0152,Network Controller,Networking,South,Meera,5,17886.22,0.1,80487.99,51870.04,28617.95,0.3556,2025-01
ORD02157,2025-01-01,Customer_0214,IoT Gateway,IoT Devices,East,Rahul,11,14537.92,0.15,135929.55,95950.27,39979.28,0.2941,2025-01
ORD04850,2025-01-01,Customer_0284,Analytics License,Software,West,Priya,2,24124.84,0.1,43424.71,16887.39,26537.32,0.6111,2025-01
ORD04382,2025-01-01,Customer_0303,Energy Monitor,Energy Management,South,Sneha,14,7012.15,0.0,98170.1,62828.86,35341.24,0.36,2025-01
ORD02754,2025-01-01,Customer_0447,Data Logger,Data Solutions,North,Rahul,13,6257.09,0.0,81342.17,51245.57,30096.6,0.37,2025-01
ORD01601,2025-01-01,Customer_0337,Data Logger,Data Solutions,South,Sneha,16,6676.95,0.1,96148.08,67303.66,28844.42,0.3,2025-01
ORD04246,2025-01-01,Customer_0385,Smart Sensor,IoT Devices,South,Aarav,9,5492.41,0.2,39545.35,30153.33,9392.02,0.2375,2025-01
ORD02315,2025-01-01,Customer_0034,IoT Gateway,IoT Devices,North,Sneha,11,15455.32,0.0,170008.52,102005.11,68003.41,0.4,2025-01
ORD03460,2025-01-01,Customer_0274,Network Controller,Networking,North,Meera,16,19594.96,0.1,282167.42,181841.23,100326.2,0.3556,2025-01
ORD02495,2025-01-01,Customer_0347,Smart Meter,Energy Management,South,Priya,19,7689.65,0.05,138798.18,99350.28,39447.9,0.2842,2025-01
ORD04393,2025-01-02,Customer_0430,Cloud Platform,Software,South,Ananya,4,35914.9,0.05,136476.62,43097.88,93378.74,0.6842,2025-01
ORD04724,2025-01-02,Customer_0288,Advanced Meter,Energy Management,North,Rohan,8,11991.87,0.1,86341.46,62357.72,23983.74,0.2778,2025-01
ORD03197,2025-01-02,Customer_0270,Network Controller,Networking,Central,Rahul,9,18351.2,0.25,123870.6,95793.26,28077.34,0.2267,2025-01
ORD04422,2025-01-02,Customer_0202,Cloud Platform,Software,Central,Vikram,1,33408.15,0.1,30067.34,10022.44,20044.89,0.6667,2025-01
ORD04118,2025-01-02,Customer_0104,Network Controller,Networking,East,Priya,1,17879.49,0.05,16985.52,10370.1,6615.41,0.3895,2025-01
ORD00030,2025-01-02,Customer_0037,Smart Meter,Energy Management,East,Rohan,1,7808.27,0.2,6246.62,5309.62,936.99,0.15,2025-01
ORD04239,2025-01-02,Customer_0370,Communication Module,IoT Devices,Central,Ananya,3,4051.25,0.1,10938.38,7535.32,3403.05,0.3111,2025-01
ORD03662,2025-01-02,Customer_0499,Analytics License,Software,Central,Arjun,1,21220.67,0.2,16976.54,7427.23,9549.3,0.5625,2025-01
ORD02454,2025-01-02,Customer_0145,Communication Module,IoT Devices,South,Vikram,19,3985.6,0.15,64367.44,46950.37,17417.07,0.2706,2025-01
ORD03292,2025-01-02,Customer_0297,IoT Gateway,IoT Devices,West,Meera,8,14736.52,0.05,111997.55,70735.3,41262.26,0.3684,2025-01
ORD00254,2025-01-03,Customer_0115,Energy Monitor,Energy Management,Central,Sneha,16,7030.84,0.0,112493.44,71995.8,40497.64,0.36,2025-01
ORD03637,2025-01-03,Customer_0013,Network Controller,Networking,West,Kavya,6,17324.93,0.1,93554.62,60290.76,33263.87,0.3556,2025-01
ORD02636,2025-01-03,Customer_0059,Communication Module,IoT Devices,West,Vikram,6,4365.24,0.2,20953.15,16238.69,4714.46,0.225,2025-01
ORD04388,2025-01-03,Customer_0368,IoT Gateway,IoT Devices,South,Aarav,2,14531.11,0.05,27609.11,17437.33,10171.78,0.3684,2025-01
ORD03378,2025-01-03,Customer_0404,Cloud Platform,Software,East,Rohan,12,36562.93,0.2,351004.13,131626.55,219377.58,0.625,2025-01
ORD00756,2025-01-03,Customer_0061,Cloud Platform,Software,West,Kavya,18,37968.51,0.2,546746.54,205029.95,341716.59,0.625,2025-01
ORD01428,2025-01-03,Customer_0136,IoT Gateway,IoT Devices,Central,Rahul,5,14195.58,0.15,60331.22,42586.74,17744.47,0.2941,2025-01
ORD00534,2025-01-03,Customer_0339,Communication Module,IoT Devices,North,Sneha,16,4128.44,0.1,59449.54,40954.12,18495.41,0.3111,2025-01
ORD04545,2025-01-03,Customer_0188,Network Controller,Networking,East,Meera,9,17953.44,0.0,161580.96,93716.96,67864.0,0.42,2025-01
ORD00494,2025-01-03,Customer_0102,Cloud Platform,Software,Central,Arjun,14,31580.45,0.1,397913.67,132637.89,265275.78,0.6667,2025-01
ORD04066,2025-01-03,Customer_0129,Smart Meter,Energy Management,East,Rohan,8,7747.68,0.05,58882.37,42147.38,16734.99,0.2842,2025-01
ORD01130,2025-01-04,Customer_0395,Energy Monitor,Energy Management,South,Aarav,1,7679.82,0.2,6143.86,4915.08,1228.77,0.2,2025-01
ORD01685,2025-01-04,Customer_0137,Advanced Meter,Energy Management,South,Kavya,18,12269.98,0.0,220859.64,143558.77,77300.87,0.35,2025-01
ORD00811,2025-01-04,Customer_0215,Analytics License,Software,West,Priya,18,20006.77,0.05,342115.77,126042.65,216073.12,0.6316,2025-01
ORD01228,2025-01-04,Customer_0474,Analytics License,Software,North,Ananya,20,21630.35,0.15,367715.95,151412.45,216303.5,0.5882,2025-01
ORD03586,2025-01-04,Customer_0251,Data Logger,Data Solutions,Central,Aarav,7,6242.0,0.2,34955.2,27527.22,7427.98,0.2125,2025-01
ORD00553,2025-01-04,Customer_0383,Analytics License,Software,South,Rohan,18,21307.64,0.2,306830.02,134238.13,172591.88,0.5625,2025-01
ORD03809,2025-01-04,Customer_0070,Smart Meter,Energy Management,Central,Kavya,16,8331.25,0.2,106640.0,90644.0,15996.0,0.15,2025-01
ORD02024,2025-01-04,Customer_0494,Communication Module,IoT Devices,East,Rohan,13,3810.37,0.05,47058.07,30711.58,16346.49,0.3474,2025-01
ORD01080,2025-01-04,Customer_0410,Network Controller,Networking,South,Rohan,12,17692.63,0.15,180464.83,123140.7,57324.12,0.3176,2025-01
ORD00037,2025-01-04,Customer_0172,Communication Module,IoT Devices,West,Arjun,3,4425.59,0.0,13276.77,8231.6,5045.17,0.38,2025-01
ORD03976,2025-01-04,Customer_0497,IoT Gateway,IoT Devices,Central,Ananya,8,15549.13,0.15,105734.08,74635.82,31098.26,0.2941,2025-01
ORD02070,2025-01-04,Customer_0213,IoT Gateway,IoT Devices,Central,Arjun,2,14892.81,0.0,29785.62,17871.37,11914.25,0.4,2025-01
ORD02071,2025-01-04,Customer_0386,Data Logger,Data Solutions,North,Rohan,1,6800.13,0.0,6800.13,4284.08,2516.05,0.37,2025-01
ORD02184,2025-01-04,Customer_0421,Communication Module,IoT Devices,North,Arjun,13,3872.75,0.15,42793.89,31214.36,11579.52,0.2706,2025-01
ORD02558,2025-01-05,Customer_0357,Energy Monitor,Energy Management,West,Rahul,12,6803.25,0.0,81639.0,52248.96,29390.04,0.36,2025-01
ORD02525,2025-01-05,Customer_0436,Smart Meter,Energy Management,North,Rahul,5,8572.37,0.1,38575.67,29146.06,9429.61,0.2444,2025-01
ORD01721,2025-01-05,Customer_0465,Cloud Platform,Software,West,Kavya,2,36523.52,0.15,62089.98,21914.11,40175.87,0.6471,2025-01
ORD00627,2025-01-05,Customer_0278,Advanced Meter,Energy Management,South,Sneha,20,12890.96,0.1,232037.28,167582.48,64454.8,0.2778,2025-01
ORD00803,2025-01-05,Customer_0181,Data Logger,Data Solutions,South,Meera,11,7342.98,0.15,68656.86,50886.85,17770.01,0.2588,2025-01
ORD04373,2025-01-05,Customer_0188,Smart Meter,Energy Management,South,Priya,19,8392.04,0.1,143503.88,108425.16,35078.73,0.2444,2025-01
ORD03501,2025-01-05,Customer_0142,Cloud Platform,Software,South,Priya,12,36442.87,0.1,393583.0,131194.33,262388.66,0.6667,2025-01
ORD04115,2025-01-05,Customer_0004,Network Controller,Networking,Central,Rohan,20,18527.87,0.15,314973.79,214923.29,100050.5,0.3176,2025-01
ORD04943,2025-01-06,Customer_0192,Smart Sensor,IoT Devices,South,Meera,19,6021.57,0.1,102968.85,69790.0,33178.85,0.3222,2025-01
ORD04526,2025-01-06,Customer_0156,Smart Sensor,IoT Devices,East,Arjun,3,5886.37,0.05,16776.15,10772.06,6004.1,0.3579,2025-01
ORD04750,2025-01-06,Customer_0360,Communication Module,IoT Devices,Central,Sneha,20,4409.07,0.1,79363.26,54672.47,24690.79,0.3111,2025-01
ORD04152,2025-01-06,Customer_0416,Energy Monitor,Energy Management,North,Sneha,10,7055.29,0.25,52914.68,45153.86,7760.82,0.1467,2025-01
